STT, Thời gian, Ngày tháng, TỔNG LƯU LƯỢNG 1, Tiêu thụ, LƯU LƯỢNG TỨC THỜI 1
   66, 18:00:00 , 03/01/2024 6:00:00 CH ,         650134.5, 25.2     ,                 24.6
   67, 19:00:00 , 03/01/2024 7:00:00 CH ,         650163.1, 28.6     ,                 28.2
   68, 20:00:00 , 03/01/2024 8:00:00 CH ,         650188.4, 25.3     ,                 24.5
   69, 21:00:00 , 03/01/2024 9:00:00 CH ,         650208.8, 20.4     ,                 21.0
   70, 22:00:00 , 03/01/2024 10:00:00 CH,         650228.5, 19.7     ,                 20.1
   71, 23:00:00 , 03/01/2024 11:00:00 CH,         650242.5, 14.0     ,                 14.0
   72, 00:00:00 , 04/01/2024 12:00:00 SA,         650251.1, 8.6      ,                  8.2
   73, 01:00:00 , 04/01/2024 1:00:00 SA ,         650256.6, 5.5      ,                  5.7
   74, 02:00:00 , 04/01/2024 2:00:00 SA ,         650261.5, 4.9      ,                  4.5
   75, 03:00:00 , 04/01/2024 3:00:00 SA ,         650265.7, 4.2      ,                  4.0
   76, 04:00:00 , 04/01/2024 4:00:00 SA ,         650270.1, 4.4      ,                  4.3
   77, 05:00:00 , 04/01/2024 5:00:00 SA ,         650275.5, 5.4      ,                  4.6
   78, 06:00:00 , 04/01/2024 6:00:00 SA ,         650284.2, 8.7      ,                  8.9
   79, 07:00:00 , 04/01/2024 7:00:00 SA ,         650303.9, 19.7     ,                 19.0
   80, 08:00:00 , 04/01/2024 8:00:00 SA ,         650327.8, 23.9     ,                 21.7
   81, 09:00:00 , 04/01/2024 9:00:00 SA ,         650347.9, 20.1     ,                 20.4
   82, 10:00:00 , 04/01/2024 10:00:00 SA,         650366.5, 18.6     ,                 18.3
   83, 11:00:00 , 04/01/2024 11:00:00 SA,         650383.6, 17.1     ,                 16.5
   84, 12:00:00 , 04/01/2024 12:00:00 CH,         650402.2, 18.6     ,                 18.8
   85, 13:00:00 , 04/01/2024 1:00:00 CH ,         650417.6, 15.4     ,                 14.9
   86, 14:00:00 , 04/01/2024 2:00:00 CH ,         650430.3, 12.7     ,                 12.0
   87, 15:00:00 , 04/01/2024 3:00:00 CH ,         650443.5, 13.2     ,                 14.2
   88, 16:00:00 , 04/01/2024 4:00:00 CH ,         650459.1, 15.6     ,                 15.5
   89, 17:00:00 , 04/01/2024 5:00:00 CH ,         650475.9, 16.8     ,                 15.8
   90, 18:00:00 , 04/01/2024 6:00:00 CH ,         650500.2, 24.3     ,                 24.1
