STT,Thời gian,Ngày tháng,ÁP LỰC 1,TỔNG LƯU LƯỢNG 1,Tiêu thụ,LƯU LƯỢNG TỨC THỜI 1
1,01:00:00,01/01/2024 1:00:00 SA,3.0,695892.1,0,5.8
2,02:00:00,01/01/2024 2:00:00 SA,2.7,695897.9,5.8,5.6
3,03:00:00,01/01/2024 3:00:00 SA,2.7,695903.1,5.3,4.6
4,04:00:00,01/01/2024 4:00:00 SA,2.7,695907.9,4.8,4.2
5,05:00:00,01/01/2024 5:00:00 SA,2.7,695913.4,5.5,5.4
6,06:00:00,01/01/2024 6:00:00 SA,3.1,695922.2,8.8,9.1
7,07:00:00,01/01/2024 7:00:00 SA,3.4,695940.7,18.5,18.6
8,08:00:00,01/01/2024 8:00:00 SA,3.4,695967.1,26.4,26.1
9,09:00:00,01/01/2024 9:00:00 SA,3.3,695996.9,29.8,29.5
10,10:00:00,01/01/2024 10:00:00 SA,3.4,696025.4,28.5,29.8
11,11:00:00,01/01/2024 11:00:00 SA,3.4,696053.1,27.8,29.5
12,12:00:00,01/01/2024 12:00:00 CH,3.4,696078.4,25.3,25.2
13,13:00:00,01/01/2024 1:00:00 CH,3.2,696100.1,21.8,21.0
14,14:00:00,01/01/2024 2:00:00 CH,3.2,696118.9,18.8,18.9
15,15:00:00,01/01/2024 3:00:00 CH,3.3,696137.9,19.0,18.2
16,16:00:00,01/01/2024 4:00:00 CH,3.4,696158.4,20.5,20.6
17,17:00:00,01/01/2024 5:00:00 CH,3.4,696186.6,28.3,28.0
18,18:00:00,01/01/2024 6:00:00 CH,3.4,696223.3,36.7,35.9
19,19:00:00,01/01/2024 7:00:00 CH,3.6,696256.7,33.4,34.2
20,20:00:00,01/01/2024 8:00:00 CH,3.6,696286.0,29.3,29.3
21,21:00:00,01/01/2024 9:00:00 CH,3.5,696310.6,24.6,24.5
22,22:00:00,01/01/2024 10:00:00 CH,2.8,696329.5,18.9,18.8
23,23:00:00,01/01/2024 11:00:00 CH,3.1,696342.6,13.1,12.7
24,00:00:00,02/01/2024 12:00:00 SA,3.0,696351.2,8.6,9.4
25,01:00:00,02/01/2024 1:00:00 SA,2.8,696356.7,5.5,5.6
26,02:00:00,02/01/2024 2:00:00 SA,2.8,696361.6,4.9,4.9
27,03:00:00,02/01/2024 3:00:00 SA,2.9,696366.9,5.3,5.1
28,04:00:00,02/01/2024 4:00:00 SA,2.9,696372.2,5.3,5.4
29,05:00:00,02/01/2024 5:00:00 SA,2.9,696378.9,6.7,6.6
30,06:00:00,02/01/2024 6:00:00 SA,3.2,696390.4,11.5,11.1
31,07:00:00,02/01/2024 7:00:00 SA,3.5,696418.3,27.9,28.1
32,08:00:00,02/01/2024 8:00:00 SA,3.5,696444.1,25.8,25.9
33,09:00:00,02/01/2024 9:00:00 SA,3.2,696468.4,24.3,23.5
34,10:00:00,02/01/2024 10:00:00 SA,3.3,696489.8,21.4,22.3
35,11:00:00,02/01/2024 11:00:00 SA,3.4,696511.4,21.6,21.8
36,12:00:00,02/01/2024 12:00:00 CH,3.3,13.4,-696498.0,18.8
37,13:00:00,02/01/2024 1:00:00 CH,3.1,31.5,18.1,18.2
38,14:00:00,02/01/2024 2:00:00 CH,3.2,47.2,15.7,16.0
39,15:00:00,02/01/2024 3:00:00 CH,3.2,61.8,14.6,14.9
40,16:00:00,02/01/2024 4:00:00 CH,3.3,78.1,16.3,16.4
41,17:00:00,02/01/2024 5:00:00 CH,3.3,99.7,21.6,19.9
42,18:00:00,02/01/2024 6:00:00 CH,3.4,132.1,32.4,31.9
43,19:00:00,02/01/2024 7:00:00 CH,3.5,696684.7,696552.6,36.5
44,20:00:00,02/01/2024 8:00:00 CH,3.6,696718.0,33.3,33.1
45,21:00:00,02/01/2024 9:00:00 CH,3.4,696745.2,27.2,27.4
46,22:00:00,02/01/2024 10:00:00 CH,2.9,696766.3,21.1,20.6
47,23:00:00,02/01/2024 11:00:00 CH,3.2,696781.2,14.9,14.3
48,00:00:00,03/01/2024 12:00:00 SA,3.1,696790.7,9.5,9.9
49,01:00:00,03/01/2024 1:00:00 SA,3.0,696796.4,5.7,6.0
50,02:00:00,03/01/2024 2:00:00 SA,2.9,696801.7,5.3,4.9
51,03:00:00,03/01/2024 3:00:00 SA,2.9,696806.9,5.2,5.2
52,04:00:00,03/01/2024 4:00:00 SA,3.1,696812.7,5.8,6.4
53,05:00:00,03/01/2024 5:00:00 SA,3.3,696820.3,7.6,8.0
54,06:00:00,03/01/2024 6:00:00 SA,3.3,696833.5,13.2,12.6
55,07:00:00,03/01/2024 7:00:00 SA,3.6,696862.4,28.9,27.5
56,08:00:00,03/01/2024 8:00:00 SA,3.3,696886.3,23.9,25.6
57,09:00:00,03/01/2024 9:00:00 SA,3.4,696907.0,20.7,19.7
58,10:00:00,03/01/2024 10:00:00 SA,3.3,696925.5,18.5,18.2
59,11:00:00,03/01/2024 11:00:00 SA,3.4,696944.4,18.9,19.6
60,12:00:00,03/01/2024 12:00:00 CH,3.5,696963.9,19.5,18.6
61,13:00:00,03/01/2024 1:00:00 CH,3.1,696980.3,16.4,17.3
62,14:00:00,03/01/2024 2:00:00 CH,3.2,696994.3,14.0,13.7
63,15:00:00,03/01/2024 3:00:00 CH,3.2,697007.5,13.2,13.7
64,16:00:00,03/01/2024 4:00:00 CH,3.3,697023.0,15.5,15.9
65,17:00:00,03/01/2024 5:00:00 CH,3.3,697042.0,19.0,17.8
66,18:00:00,03/01/2024 6:00:00 CH,3.3,697073.4,31.4,30.9
67,19:00:00,03/01/2024 7:00:00 CH,3.5,697109.8,36.4,37.6
68,20:00:00,03/01/2024 8:00:00 CH,3.5,697141.0,31.2,31.1
69,21:00:00,03/01/2024 9:00:00 CH,3.4,697167.0,26.0,25.4
70,22:00:00,03/01/2024 10:00:00 CH,2.8,697187.0,20.0,19.7
71,23:00:00,03/01/2024 11:00:00 CH,3.2,697200.7,13.7,15.2
72,00:00:00,04/01/2024 12:00:00 SA,3.1,697209.8,9.1,9.5
73,01:00:00,04/01/2024 1:00:00 SA,2.9,697215.9,6.1,6.0
74,02:00:00,04/01/2024 2:00:00 SA,2.9,697221.0,5.1,5.0
75,03:00:00,04/01/2024 3:00:00 SA,2.7,697226.0,5.0,5.0
76,04:00:00,04/01/2024 4:00:00 SA,2.8,697231.2,5.2,5.2
77,05:00:00,04/01/2024 5:00:00 SA,2.8,697238.0,6.8,6.8
78,06:00:00,04/01/2024 6:00:00 SA,3.2,697249.0,11.0,10.6
79,07:00:00,04/01/2024 7:00:00 SA,3.5,697275.3,26.3,25.7
80,08:00:00,04/01/2024 8:00:00 SA,3.3,697297.9,22.6,23.3
81,09:00:00,04/01/2024 9:00:00 SA,3.3,697318.2,20.3,19.5
82,10:00:00,04/01/2024 10:00:00 SA,3.3,697336.7,18.5,18.9
83,11:00:00,04/01/2024 11:00:00 SA,3.5,697355.3,18.6,17.4
84,12:00:00,04/01/2024 12:00:00 CH,3.5,697376.1,20.8,21.1
85,13:00:00,04/01/2024 1:00:00 CH,3.4,697393.7,17.6,17.3
86,14:00:00,04/01/2024 2:00:00 CH,3.2,697406.8,13.1,13.4
87,15:00:00,04/01/2024 3:00:00 CH,3.1,697420.2,13.4,12.3
88,16:00:00,04/01/2024 4:00:00 CH,3.1,697434.5,14.3,13.5
89,17:00:00,04/01/2024 5:00:00 CH,3.2,697453.2,18.7,16.6
90,18:00:00,04/01/2024 6:00:00 CH,3.4,697484.1,30.9,31.0
91,19:00:00,04/01/2024 7:00:00 CH,3.5,697520.3,36.2,36.5
92,20:00:00,04/01/2024 8:00:00 CH,3.4,697552.8,32.5,31.8
93,21:00:00,04/01/2024 9:00:00 CH,3.5,697578.5,25.7,27.1
94,22:00:00,04/01/2024 10:00:00 CH,3.2,697599.6,21.1,21.5
95,23:00:00,04/01/2024 11:00:00 CH,3.2,697614.4,14.8,15.6
96,00:00:00,05/01/2024 12:00:00 SA,3.0,697622.6,8.3,8.6
97,01:00:00,05/01/2024 1:00:00 SA,2.8,697628.3,5.7,6.0
98,02:00:00,05/01/2024 2:00:00 SA,2.8,697633.2,4.9,5.0
99,03:00:00,05/01/2024 3:00:00 SA,2.9,697638.5,5.3,5.5
100,04:00:00,05/01/2024 4:00:00 SA,2.9,697643.7,5.2,4.7
